Date,Focal Name,Unified Behavior,Percentage,Sex,Social Group
2021-12,Coco,Locomotion,8.33,Female,Bilinga
2021-12,Coco,Manipulation,10.69,Female,Bilinga
2021-12,Coco,Self directed,1.42,Female,Bilinga
2021-12,Coco,Social Play,0.94,Female,Bilinga
2021-12,Coco,Solitary Play,0.16,Female,Bilinga
2021-12,Juanito,Abnormal,0.98,Male,Mutamba
2021-12,Juanito,Affiliative,4.07,Male,Mutamba
2021-12,Juanito,Agonistic,0.23,Male,Mutamba
2021-12,Juanito,Alimentation,22.32,Male,Mutamba
2021-12,Juanito,Grooming,31.52,Male,Mutamba
2021-12,Juanito,Human Interaction,0.53,Male,Mutamba
2021-12,Juanito,Inactivity,30.39,Male,Mutamba
2021-12,Juanito,Locomotion,6.41,Male,Mutamba
2021-12,Juanito,Manipulation,0.15,Male,Mutamba
2021-12,Juanito,Self directed,2.79,Male,Mutamba
2021-12,Juanito,Socio Sexual,0.6,Male,Mutamba
2021-12,Marco,Abnormal,0.06,Male,Mutamba
2021-12,Marco,Affiliative,2.49,Male,Mutamba
2021-12,Marco,Agonistic,0.45,Male,Mutamba
2021-12,Marco,Alimentation,44.32,Male,Mutamba
2021-12,Marco,Grooming,9.64,Male,Mutamba
2021-12,Marco,Human Interaction,0.51,Male,Mutamba
2021-12,Marco,Inactivity,33.4,Male,Mutamba
2021-12,Marco,Locomotion,6.83,Male,Mutamba
2021-12,Marco,Manipulation,0.7,Male,Mutamba
2021-12,Marco,Self directed,0.96,Male,Mutamba
2021-12,Marco,Social Play,0.38,Male,Mutamba
2021-12,Marco,Socio Sexual,0.26,Male,Mutamba
2021-12,Nico,Affiliative,0.65,Male,Bilinga
2021-12,Nico,Agonistic,0.16,Male,Bilinga
2021-12,Nico,Alimentation,28.04,Male,Bilinga
2021-12,Nico,Grooming,0.97,Male,Bilinga
2021-12,Nico,Human Interaction,0.81,Male,Bilinga
2021-12,Nico,Inactivity,58.67,Male,Bilinga
2021-12,Nico,Locomotion,6.16,Male,Bilinga
2021-12,Nico,Manipulation,1.78,Male,Bilinga
2021-12,Nico,Self directed,1.94,Male,Bilinga
2021-12,Nico,Social Play,0.32,Male,Bilinga
2021-12,Nico,Socio Sexual,0.49,Male,Bilinga
2021-12,Tico,Abnormal,0.13,Male,Bilinga
2021-12,Tico,Alimentation,12.99,Male,Bilinga
2021-12,Tico,Human Interaction,0.13,Male,Bilinga
2021-12,Tico,Inactivity,76.88,Male,Bilinga
2021-12,Tico,Locomotion,3.51,Male,Bilinga
2021-12,Tico,Manipulation,0.65,Male,Bilinga
2021-12,Tico,Self directed,4.94,Male,Bilinga
2021-12,Tico,Social Play,0.78,Male,Bilinga
2021-12,Tom,Affiliative,0.48,Male,Bilinga
2021-12,Tom,Agonistic,0.8,Male,Bilinga
2021-12,Tom,Alimentation,18.11,Male,Bilinga
2021-12,Tom,Grooming,1.44,Male,Bilinga
2021-12,Tom,Human Interaction,1.76,Male,Bilinga
2021-12,Tom,Inactivity,58.33,Male,Bilinga
2021-12,Tom,Locomotion,7.85,Male,Bilinga
2021-12,Tom,Manipulation,0.96,Male,Bilinga
2021-12,Tom,Self directed,9.13,Male,Bilinga
2021-12,Tom,Social Play,1.12,Male,Bilinga
2021-12,Victor,Abnormal,7.25,Male,Bilinga
2021-12,Victor,Affiliative,0.18,Male,Bilinga
2021-12,Victor,Agonistic,0.18,Male,Bilinga
2021-12,Victor,Alimentation,39.86,Male,Bilinga
2021-12,Victor,Grooming,0.18,Male,Bilinga
2021-12,Victor,Inactivity,43.48,Male,Bilinga
2021-12,Victor,Locomotion,4.89,Male,Bilinga
2021-12,Victor,Manipulation,0.91,Male,Bilinga
2021-12,Victor,Self directed,2.72,Male,Bilinga
2021-12,Victor,Social Play,0.36,Male,Bilinga
2021-12,Waty,Abnormal,0.85,Female,Mutamba
2021-12,Waty,Affiliative,4.66,Female,Mutamba
2021-12,Waty,Agonistic,0.07,Female,Mutamba
2021-12,Waty,Alimentation,13.49,Female,Mutamba
2021-12,Waty,Grooming,29.66,Female,Mutamba
2021-12,Waty,Human Interaction,0.64,Female,Mutamba
2021-12,Waty,Inactivity,41.74,Female,Mutamba
2021-12,Waty,Locomotion,5.23,Female,Mutamba
2021-12,Waty,Manipulation,1.06,Female,Mutamba
2021-12,Waty,Self directed,2.19,Female,Mutamba
2021-12,Waty,Social Play,0.14,Female,Mutamba
2021-12,Waty,Socio Sexual,0.28,Female,Mutamba
2022-01,Africa,Abnormal,9.37,Female,Mutamba
2022-01,Africa,Affiliative,3.68,Female,Mutamba
2022-01,Africa,Agonistic,0.21,Female,Mutamba
2022-01,Africa,Alimentation,18.32,Female,Mutamba
2022-01,Africa,Grooming,14.0,Female,Mutamba
2022-01,Africa,Human Interaction,0.74,Female,Mutamba
2022-01,Africa,Inactivity,46.95,Female,Mutamba
2022-01,Africa,Locomotion,3.26,Female,Mutamba
2022-01,Africa,Manipulation,2.0,Female,Mutamba
2022-01,Africa,Self directed,1.47,Female,Mutamba
2022-01,Bea,Affiliative,1.45,Female,Bilinga
2022-01,Bea,Alimentation,21.92,Female,Bilinga
2022-01,Bea,Grooming,2.03,Female,Bilinga
2022-01,Bea,Human Interaction,0.87,Female,Bilinga
2022-01,Bea,Inactivity,62.41,Female,Bilinga
2022-01,Bea,Locomotion,10.74,Female,Bilinga
2022-01,Bea,Manipulation,0.15,Female,Bilinga
2022-01,Bea,Self directed,0.15,Female,Bilinga
2022-01,Bea,Socio Sexual,0.29,Female,Bilinga
2022-01,Bongo,Abnormal,0.62,Male,Mutamba
2022-01,Bongo,Affiliative,2.37,Male,Mutamba
2022-01,Bongo,Agonistic,1.44,Male,Mutamba
2022-01,Bongo,Alimentation,26.88,Male,Mutamba
2022-01,Bongo,Grooming,14.83,Male,Mutamba
2022-01,Bongo,Human Interaction,0.82,Male,Mutamba
2022-01,Bongo,Inactivity,38.41,Male,Mutamba
2022-01,Bongo,Locomotion,9.68,Male,Mutamba
2022-01,Bongo,Manipulation,0.51,Male,Mutamba
2022-01,Bongo,Self directed,3.4,Male,Mutamba
2022-01,Bongo,Social Play,0.82,Male,Mutamba
2022-01,Bongo,Socio Sexual,0.21,Male,Mutamba
2022-01,Cheeta,Abnormal,0.13,Female,Bilinga
2022-01,Cheeta,Affiliative,1.07,Female,Bilinga
2022-01,Cheeta,Agonistic,0.13,Female,Bilinga
2022-01,Cheeta,Alimentation,39.73,Female,Bilinga
2022-01,Cheeta,Grooming,1.2,Female,Bilinga
2022-01,Cheeta,Human Interaction,0.4,Female,Bilinga
2022-01,Cheeta,Inactivity,52.53,Female,Bilinga
2022-01,Cheeta,Locomotion,2.8,Female,Bilinga
2022-01,Cheeta,Manipulation,0.27,Female,Bilinga
2022-01,Cheeta,Self directed,1.47,Female,Bilinga
2022-01,Cheeta,Social Play,0.13,Female,Bilinga
2022-01,Cheeta,Socio Sexual,0.13,Female,Bilinga
2022-01,Coco,Abnormal,3.29,Female,Bilinga
2022-01,Coco,Affiliative,1.05,Female,Bilinga
2022-01,Coco,Alimentation,34.38,Female,Bilinga
2022-01,Coco,Grooming,2.54,Female,Bilinga
2022-01,Coco,Human Interaction,1.2,Female,Bilinga
2022-01,Coco,Inactivity,46.64,Female,Bilinga
2022-01,Coco,Locomotion,4.93,Female,Bilinga
2022-01,Coco,Manipulation,3.89,Female,Bilinga
2022-01,Coco,Self directed,0.9,Female,Bilinga
2022-01,Coco,Social Play,0.9,Female,Bilinga
2022-01,Coco,Socio Sexual,0.3,Female,Bilinga
2022-01,Juanito,Abnormal,2.96,Male,Mutamba
2022-01,Juanito,Affiliative,7.67,Male,Mutamba
2022-01,Juanito,Agonistic,0.55,Male,Mutamba
2022-01,Juanito,Alimentation,20.81,Male,Mutamba
2022-01,Juanito,Grooming,29.68,Male,Mutamba
2022-01,Juanito,Human Interaction,0.66,Male,Mutamba
2022-01,Juanito,Inactivity,31.54,Male,Mutamba
2022-01,Juanito,Locomotion,3.07,Male,Mutamba
2022-01,Juanito,Manipulation,0.44,Male,Mutamba
2022-01,Juanito,Self directed,2.3,Male,Mutamba
2022-01,Juanito,Social Play,0.22,Male,Mutamba
2022-01,Juanito,Socio Sexual,0.11,Male,Mutamba
2022-01,Marco,Abnormal,0.32,Male,Mutamba
2022-01,Marco,Affiliative,2.76,Male,Mutamba
2022-01,Marco,Agonistic,0.21,Male,Mutamba
2022-01,Marco,Alimentation,39.02,Male,Mutamba
2022-01,Marco,Grooming,14.21,Male,Mutamba
2022-01,Marco,Human Interaction,0.74,Male,Mutamba
2022-01,Marco,Inactivity,33.19,Male,Mutamba
2022-01,Marco,Locomotion,6.36,Male,Mutamba
2022-01,Marco,Manipulation,0.74,Male,Mutamba
2022-01,Marco,Self directed,1.7,Male,Mutamba
2022-01,Marco,Social Play,0.74,Male,Mutamba
2022-01,Nico,Affiliative,1.38,Male,Bilinga
2022-01,Nico,Agonistic,0.69,Male,Bilinga
2022-01,Nico,Alimentation,30.39,Male,Bilinga
2022-01,Nico,Grooming,2.21,Male,Bilinga
2022-01,Nico,Human Interaction,3.31,Male,Bilinga
2022-01,Nico,Inactivity,54.42,Male,Bilinga
2022-01,Nico,Locomotion,4.7,Male,Bilinga
2022-01,Nico,Manipulation,1.1,Male,Bilinga
2022-01,Nico,Self directed,0.83,Male,Bilinga
2022-01,Nico,Social Play,0.97,Male,Bilinga
2022-01,Tico,Abnormal,0.26,Male,Bilinga
2022-01,Tico,Affiliative,0.13,Male,Bilinga
2022-01,Tico,Alimentation,12.76,Male,Bilinga
2022-01,Tico,Human Interaction,1.68,Male,Bilinga
2022-01,Tico,Inactivity,76.55,Male,Bilinga
2022-01,Tico,Locomotion,3.74,Male,Bilinga
2022-01,Tico,Manipulation,1.55,Male,Bilinga
2022-01,Tico,Self directed,3.35,Male,Bilinga
2022-01,Tom,Abnormal,4.2,Male,Bilinga
2022-01,Tom,Affiliative,0.7,Male,Bilinga
2022-01,Tom,Agonistic,0.53,Male,Bilinga
2022-01,Tom,Alimentation,15.59,Male,Bilinga
2022-01,Tom,Grooming,1.05,Male,Bilinga
2022-01,Tom,Human Interaction,2.45,Male,Bilinga
2022-01,Tom,Inactivity,62.7,Male,Bilinga
2022-01,Tom,Locomotion,4.73,Male,Bilinga
2022-01,Tom,Manipulation,0.88,Male,Bilinga
2022-01,Tom,Self directed,6.65,Male,Bilinga
2022-01,Tom,Social Play,0.35,Male,Bilinga
2022-01,Tom,Socio Sexual,0.18,Male,Bilinga
2022-01,Victor,Abnormal,4.65,Male,Bilinga
2022-01,Victor,Alimentation,47.94,Male,Bilinga
2022-01,Victor,Grooming,1.2,Male,Bilinga
2022-01,Victor,Inactivity,39.44,Male,Bilinga
2022-01,Victor,Locomotion,3.32,Male,Bilinga
2022-01,Victor,Manipulation,1.99,Male,Bilinga
2022-01,Victor,Self directed,1.2,Male,Bilinga
2022-01,Victor,Social Play,0.27,Male,Bilinga
2022-01,Waty,Abnormal,1.09,Female,Mutamba
2022-01,Waty,Affiliative,7.22,Female,Mutamba
2022-01,Waty,Agonistic,0.11,Female,Mutamba
2022-01,Waty,Alimentation,12.69,Female,Mutamba
2022-01,Waty,Grooming,22.32,Female,Mutamba
2022-01,Waty,Human Interaction,0.55,Female,Mutamba
2022-01,Waty,Inactivity,50.55,Female,Mutamba
2022-01,Waty,Locomotion,3.5,Female,Mutamba
2022-01,Waty,Manipulation,0.77,Female,Mutamba
2022-01,Waty,Self directed,1.09,Female,Mutamba
2022-01,Waty,Social Play,0.11,Female,Mutamba
2022-02,Africa,Abnormal,11.66,Female,Mutamba
2022-02,Africa,Affiliative,5.71,Female,Mutamba
2022-02,Africa,Agonistic,0.05,Female,Mutamba
2022-02,Africa,Alimentation,21.11,Female,Mutamba
2022-02,Africa,Grooming,12.67,Female,Mutamba
2022-02,Africa,Human Interaction,0.72,Female,Mutamba
2022-02,Africa,Inactivity,36.13,Female,Mutamba
2022-02,Africa,Locomotion,5.42,Female,Mutamba
2022-02,Africa,Manipulation,1.25,Female,Mutamba
2022-02,Africa,Self directed,3.02,Female,Mutamba
2022-02,Africa,Social Play,0.72,Female,Mutamba
2022-02,Africa,Socio Sexual,1.54,Female,Mutamba
2022-02,Bea,Abnormal,0.39,Female,Bilinga
2022-02,Bea,Affiliative,5.12,Female,Bilinga
2022-02,Bea,Alimentation,14.96,Female,Bilinga
2022-02,Bea,Grooming,5.12,Female,Bilinga
2022-02,Bea,Human Interaction,4.33,Female,Bilinga
2022-02,Bea,Inactivity,54.72,Female,Bilinga
2022-02,Bea,Locomotion,12.99,Female,Bilinga
2022-02,Bea,Self directed,1.57,Female,Bilinga
2022-02,Bea,Socio Sexual,0.79,Female,Bilinga
2022-02,Bongo,Abnormal,0.05,Male,Mutamba
2022-02,Bongo,Affiliative,4.81,Male,Mutamba
2022-02,Bongo,Agonistic,3.01,Male,Mutamba
2022-02,Bongo,Alimentation,20.81,Male,Mutamba
2022-02,Bongo,Grooming,5.78,Male,Mutamba
2022-02,Bongo,Human Interaction,0.37,Male,Mutamba
2022-02,Bongo,Inactivity,37.6,Male,Mutamba
2022-02,Bongo,Locomotion,23.87,Male,Mutamba
2022-02,Bongo,Manipulation,0.37,Male,Mutamba
2022-02,Bongo,Self directed,2.13,Male,Mutamba
2022-02,Bongo,Social Play,0.83,Male,Mutamba
2022-02,Bongo,Socio Sexual,0.37,Male,Mutamba
2022-02,Cheeta,Affiliative,1.57,Female,Bilinga
2022-02,Cheeta,Agonistic,0.31,Female,Bilinga
2022-02,Cheeta,Alimentation,36.16,Female,Bilinga
2022-02,Cheeta,Grooming,3.46,Female,Bilinga
2022-02,Cheeta,Human Interaction,2.52,Female,Bilinga
2022-02,Cheeta,Inactivity,45.6,Female,Bilinga
2022-02,Cheeta,Locomotion,10.06,Female,Bilinga
2022-02,Cheeta,Self directed,0.31,Female,Bilinga
2022-02,Coco,Abnormal,7.42,Female,Bilinga
2022-02,Coco,Affiliative,6.11,Female,Bilinga
2022-02,Coco,Alimentation,32.75,Female,Bilinga
2022-02,Coco,Grooming,3.93,Female,Bilinga
2022-02,Coco,Human Interaction,3.49,Female,Bilinga
2022-02,Coco,Inactivity,35.81,Female,Bilinga
2022-02,Coco,Locomotion,8.3,Female,Bilinga
2022-02,Coco,Social Play,1.31,Female,Bilinga
2022-02,Coco,Socio Sexual,0.87,Female,Bilinga
2022-02,Juanito,Abnormal,2.58,Male,Mutamba
2022-02,Juanito,Affiliative,10.85,Male,Mutamba
2022-02,Juanito,Agonistic,0.43,Male,Mutamba
2022-02,Juanito,Alimentation,16.72,Male,Mutamba
2022-02,Juanito,Grooming,25.37,Male,Mutamba
2022-02,Juanito,Human Interaction,0.33,Male,Mutamba
2022-02,Juanito,Inactivity,29.96,Male,Mutamba
2022-02,Juanito,Locomotion,8.03,Male,Mutamba
2022-02,Juanito,Manipulation,1.24,Male,Mutamba
2022-02,Juanito,Self directed,2.48,Male,Mutamba
2022-02,Juanito,Social Play,0.33,Male,Mutamba
2022-02,Juanito,Socio Sexual,1.67,Male,Mutamba
2022-02,Marco,Affiliative,4.49,Male,Mutamba
2022-02,Marco,Agonistic,0.64,Male,Mutamba
2022-02,Marco,Alimentation,42.15,Male,Mutamba
2022-02,Marco,Grooming,9.26,Male,Mutamba
2022-02,Marco,Human Interaction,0.23,Male,Mutamba
2022-02,Marco,Inactivity,30.31,Male,Mutamba
2022-02,Marco,Locomotion,10.62,Male,Mutamba
2022-02,Marco,Manipulation,0.54,Male,Mutamba
2022-02,Marco,Self directed,0.86,Male,Mutamba
2022-02,Marco,Social Play,0.32,Male,Mutamba
2022-02,Marco,Socio Sexual,0.59,Male,Mutamba
2022-02,Nico,Affiliative,4.41,Male,Bilinga
2022-02,Nico,Agonistic,0.88,Male,Bilinga
2022-02,Nico,Alimentation,26.76,Male,Bilinga
2022-02,Nico,Grooming,0.29,Male,Bilinga
2022-02,Nico,Human Interaction,8.53,Male,Bilinga
2022-02,Nico,Inactivity,42.35,Male,Bilinga
2022-02,Nico,Locomotion,11.76,Male,Bilinga
2022-02,Nico,Manipulation,3.24,Male,Bilinga
2022-02,Nico,Self directed,0.59,Male,Bilinga
2022-02,Nico,Social Play,0.88,Male,Bilinga
2022-02,Nico,Solitary Play,0.29,Male,Bilinga
2022-02,Tico,Abnormal,0.26,Male,Bilinga
2022-02,Tico,Affiliative,0.26,Male,Bilinga
2022-02,Tico,Alimentation,13.04,Male,Bilinga
2022-02,Tico,Human Interaction,2.56,Male,Bilinga
2022-02,Tico,Inactivity,76.73,Male,Bilinga
2022-02,Tico,Locomotion,1.79,Male,Bilinga
2022-02,Tico,Self directed,5.37,Male,Bilinga
2022-02,Tom,Abnormal,1.09,Male,Bilinga
2022-02,Tom,Affiliative,1.09,Male,Bilinga
2022-02,Tom,Agonistic,0.36,Male,Bilinga
2022-02,Tom,Alimentation,19.2,Male,Bilinga
2022-02,Tom,Grooming,1.45,Male,Bilinga
2022-02,Tom,Human Interaction,7.97,Male,Bilinga
2022-02,Tom,Inactivity,44.93,Male,Bilinga
2022-02,Tom,Locomotion,21.38,Male,Bilinga
2022-02,Tom,Self directed,2.54,Male,Bilinga
2022-02,Victor,Abnormal,9.55,Male,Bilinga
2022-02,Victor,Affiliative,2.09,Male,Bilinga
2022-02,Victor,Agonistic,0.3,Male,Bilinga
2022-02,Victor,Alimentation,33.13,Male,Bilinga
2022-02,Victor,Inactivity,45.07,Male,Bilinga
2022-02,Victor,Locomotion,5.67,Male,Bilinga
2022-02,Victor,Manipulation,2.39,Male,Bilinga
2022-02,Victor,Self directed,1.79,Male,Bilinga
2022-02,Waty,Abnormal,0.1,Female,Mutamba
2022-02,Waty,Affiliative,11.01,Female,Mutamba
2022-02,Waty,Agonistic,0.05,Female,Mutamba
2022-02,Waty,Alimentation,13.55,Female,Mutamba
2022-02,Waty,Grooming,26.23,Female,Mutamba
2022-02,Waty,Human Interaction,0.86,Female,Mutamba
2022-02,Waty,Inactivity,39.64,Female,Mutamba
2022-02,Waty,Locomotion,5.74,Female,Mutamba
2022-02,Waty,Manipulation,1.2,Female,Mutamba
2022-02,Waty,Self directed,1.1,Female,Mutamba
2022-02,Waty,Social Play,0.1,Female,Mutamba
2022-02,Waty,Socio Sexual,0.43,Female,Mutamba
2022-03,Africa,Abnormal,12.07,Female,Mutamba
2022-03,Africa,Affiliative,3.62,Female,Mutamba
2022-03,Africa,Agonistic,0.17,Female,Mutamba
2022-03,Africa,Alimentation,21.03,Female,Mutamba
2022-03,Africa,Grooming,3.97,Female,Mutamba
2022-03,Africa,Human Interaction,0.52,Female,Mutamba
2022-03,Africa,Inactivity,42.93,Female,Mutamba
2022-03,Africa,Locomotion,7.41,Female,Mutamba
2022-03,Africa,Manipulation,4.83,Female,Mutamba
2022-03,Africa,Self directed,2.41,Female,Mutamba
2022-03,Africa,Social Play,0.86,Female,Mutamba
2022-03,Africa,Socio Sexual,0.17,Female,Mutamba
2022-03,Bea,Abnormal,6.05,Female,Bilinga
2022-03,Bea,Affiliative,4.65,Female,Bilinga
2022-03,Bea,Agonistic,0.47,Female,Bilinga
2022-03,Bea,Alimentation,15.35,Female,Bilinga
2022-03,Bea,Grooming,2.79,Female,Bilinga
2022-03,Bea,Human Interaction,0.93,Female,Bilinga
2022-03,Bea,Inactivity,42.79,Female,Bilinga
2022-03,Bea,Locomotion,26.98,Female,Bilinga
2022-03,Bongo,Affiliative,4.87,Male,Mutamba
2022-03,Bongo,Agonistic,2.8,Male,Mutamba
2022-03,Bongo,Alimentation,15.93,Male,Mutamba
2022-03,Bongo,Grooming,2.65,Male,Mutamba
2022-03,Bongo,Human Interaction,0.44,Male,Mutamba
2022-03,Bongo,Inactivity,48.67,Male,Mutamba
2022-03,Bongo,Locomotion,23.16,Male,Mutamba
2022-03,Bongo,Self directed,0.74,Male,Mutamba
2022-03,Bongo,Social Play,0.74,Male,Mutamba
2022-03,Cheeta,Abnormal,3.67,Female,Bilinga
2022-03,Cheeta,Affiliative,5.05,Female,Bilinga
2022-03,Cheeta,Alimentation,21.56,Female,Bilinga
2022-03,Cheeta,Grooming,3.21,Female,Bilinga
2022-03,Cheeta,Human Interaction,0.92,Female,Bilinga
2022-03,Cheeta,Inactivity,48.17,Female,Bilinga
2022-03,Cheeta,Locomotion,12.39,Female,Bilinga
2022-03,Cheeta,Self directed,1.38,Female,Bilinga
2022-03,Cheeta,Social Play,3.21,Female,Bilinga
2022-03,Cheeta,Socio Sexual,0.46,Female,Bilinga
2022-03,Coco,Affiliative,3.4,Female,Bilinga
2022-03,Coco,Alimentation,25.17,Female,Bilinga
2022-03,Coco,Grooming,1.36,Female,Bilinga
2022-03,Coco,Human Interaction,2.04,Female,Bilinga
2022-03,Coco,Inactivity,38.1,Female,Bilinga
2022-03,Coco,Locomotion,18.37,Female,Bilinga
2022-03,Coco,Manipulation,6.8,Female,Bilinga
2022-03,Coco,Social Play,4.76,Female,Bilinga
2022-03,Juanito,Abnormal,0.87,Male,Mutamba
2022-03,Juanito,Affiliative,6.94,Male,Mutamba
2022-03,Juanito,Agonistic,0.69,Male,Mutamba
2022-03,Juanito,Alimentation,24.65,Male,Mutamba
2022-03,Juanito,Grooming,12.5,Male,Mutamba
2022-03,Juanito,Inactivity,42.19,Male,Mutamba
2022-03,Juanito,Locomotion,9.9,Male,Mutamba
2022-03,Juanito,Self directed,1.91,Male,Mutamba
2022-03,Juanito,Social Play,0.35,Male,Mutamba
2022-03,Marco,Abnormal,0.27,Male,Mutamba
2022-03,Marco,Affiliative,5.38,Male,Mutamba
2022-03,Marco,Agonistic,0.27,Male,Mutamba
2022-03,Marco,Alimentation,42.66,Male,Mutamba
2022-03,Marco,Grooming,7.81,Male,Mutamba
2022-03,Marco,Human Interaction,0.13,Male,Mutamba
2022-03,Marco,Inactivity,29.88,Male,Mutamba
2022-03,Marco,Locomotion,10.63,Male,Mutamba
2022-03,Marco,Manipulation,0.4,Male,Mutamba
2022-03,Marco,Self directed,1.21,Male,Mutamba
2022-03,Marco,Social Play,1.21,Male,Mutamba
2022-03,Marco,Socio Sexual,0.13,Male,Mutamba
2022-03,Nico,Abnormal,0.25,Male,Bilinga
2022-03,Nico,Affiliative,1.51,Male,Bilinga
2022-03,Nico,Agonistic,1.26,Male,Bilinga
2022-03,Nico,Alimentation,25.13,Male,Bilinga
2022-03,Nico,Grooming,1.26,Male,Bilinga
2022-03,Nico,Human Interaction,7.29,Male,Bilinga
2022-03,Nico,Inactivity,46.98,Male,Bilinga
2022-03,Nico,Locomotion,9.05,Male,Bilinga
2022-03,Nico,Manipulation,3.27,Male,Bilinga
2022-03,Nico,Self directed,2.01,Male,Bilinga
2022-03,Nico,Social Play,1.76,Male,Bilinga
2022-03,Nico,Socio Sexual,0.25,Male,Bilinga
2022-03,Tico,Abnormal,0.3,Male,Bilinga
2022-03,Tico,Affiliative,0.3,Male,Bilinga
2022-03,Tico,Alimentation,14.63,Male,Bilinga
2022-03,Tico,Human Interaction,4.78,Male,Bilinga
2022-03,Tico,Inactivity,63.88,Male,Bilinga
2022-03,Tico,Locomotion,7.46,Male,Bilinga
2022-03,Tico,Manipulation,1.79,Male,Bilinga
2022-03,Tico,Self directed,5.67,Male,Bilinga
2022-03,Tico,Social Play,1.19,Male,Bilinga
2022-03,Tom,Affiliative,0.74,Male,Bilinga
2022-03,Tom,Agonistic,2.22,Male,Bilinga
2022-03,Tom,Alimentation,14.07,Male,Bilinga
2022-03,Tom,Human Interaction,3.7,Male,Bilinga
2022-03,Tom,Inactivity,53.33,Male,Bilinga
2022-03,Tom,Locomotion,15.56,Male,Bilinga
2022-03,Tom,Manipulation,2.96,Male,Bilinga
2022-03,Tom,Self directed,6.67,Male,Bilinga
2022-03,Tom,Social Play,0.74,Male,Bilinga
2022-03,Victor,Abnormal,7.3,Male,Bilinga
2022-03,Victor,Agonistic,0.27,Male,Bilinga
2022-03,Victor,Alimentation,36.22,Male,Bilinga
2022-03,Victor,Grooming,1.08,Male,Bilinga
2022-03,Victor,Inactivity,42.7,Male,Bilinga
2022-03,Victor,Locomotion,7.84,Male,Bilinga
2022-03,Victor,Manipulation,2.16,Male,Bilinga
2022-03,Victor,Self directed,1.35,Male,Bilinga
2022-03,Victor,Social Play,1.08,Male,Bilinga
2022-03,Waty,Abnormal,0.17,Female,Mutamba
2022-03,Waty,Affiliative,4.92,Female,Mutamba
2022-03,Waty,Agonistic,0.17,Female,Mutamba
2022-03,Waty,Alimentation,16.27,Female,Mutamba
2022-03,Waty,Grooming,14.41,Female,Mutamba
2022-03,Waty,Human Interaction,0.34,Female,Mutamba
2022-03,Waty,Inactivity,53.56,Female,Mutamba
2022-03,Waty,Locomotion,7.46,Female,Mutamba
2022-03,Waty,Manipulation,1.19,Female,Mutamba
2022-03,Waty,Self directed,1.02,Female,Mutamba
2022-03,Waty,Social Play,0.51,Female,Mutamba
